SalesOrderNumber,OrderDate,ShipDate,ProductKey,EmployeeKey,SalesTerritoryKey,Quantity,Reseller Business Type,Reseller,Reseller CityState,ResellerCountry
SO53465,2019-09-03 00:00:00.000,2019-09-16 00:00:00.000,601,272,6,1,Warehouse,Vigorous Exercise Company,Toronto-Ontario,Canada
SO53465,2019-09-03 00:00:00.000,2019-09-07 00:00:00.000,598,272,6,1,Warehouse,Vigorous Exercise Company,Toronto-Ontario,Canada
SO53465,2019-09-03 00:00:00.000,2019-09-18 00:00:00.000,306,272,6,1,Warehouse,Vigorous Exercise Company,Toronto-Ontario,Canada
SO53465,2019-09-03 00:00:00.000,2019-09-16 00:00:00.000,290,272,6,1,Warehouse,Vigorous Exercise Company,Toronto-Ontario,Canada
SO53465,2019-09-03 00:00:00.000,2019-09-14 00:00:00.000,237,272,6,2,Warehouse,Vigorous Exercise Company,Toronto-Ontario,Canada
SO53465,2019-09-03 00:00:00.000,2019-09-12 00:00:00.000,551,272,6,2,Warehouse,Vigorous Exercise Company,Toronto-Ontario,Canada
SO53465,2019-09-03 00:00:00.000,2019-09-11 00:00:00.000,355,272,6,2,Warehouse,Vigorous Exercise Company,Toronto-Ontario,Canada
SO53465,2019-09-03 00:00:00.000,2019-09-18 00:00:00.000,557,272,6,2,Warehouse,Vigorous Exercise Company,Toronto-Ontario,Canada
SO53465,2019-09-03 00:00:00.000,2019-09-10 00:00:00.000,527,272,6,2,Warehouse,Vigorous Exercise Company,Toronto-Ontario,Canada
SO53465,2019-09-03 00:00:00.000,2019-09-15 00:00:00.000,594,272,6,2,Warehouse,Vigorous Exercise Company,Toronto-Ontario,Canada
SO53465,2019-09-03 00:00:00.000,2019-09-08 00:00:00.000,361,272,6,2,Warehouse,Vigorous Exercise Company,Toronto-Ontario,Canada
SO53465,2019-09-03 00:00:00.000,2019-09-14 00:00:00.000,512,272,6,2,Warehouse,Vigorous Exercise Company,Toronto-Ontario,Canada
SO53465,2019-09-03 00:00:00.000,2019-09-06 00:00:00.000,467,272,6,2,Warehouse,Vigorous Exercise Company,Toronto-Ontario,Canada
SO53465,2019-09-03 00:00:00.000,2019-09-13 00:00:00.000,402,272,6,3,Warehouse,Vigorous Exercise Company,Toronto-Ontario,Canada
SO53465,2019-09-03 00:00:00.000,2019-09-05 00:00:00.000,543,272,6,3,Warehouse,Vigorous Exercise Company,Toronto-Ontario,Canada
SO53465,2019-09-03 00:00:00.000,2019-09-16 00:00:00.000,475,272,6,3,Warehouse,Vigorous Exercise Company,Toronto-Ontario,Canada
SO53465,2019-09-03 00:00:00.000,2019-09-08 00:00:00.000,588,272,6,3,Warehouse,Vigorous Exercise Company,Toronto-Ontario,Canada
SO53465,2019-09-03 00:00:00.000,2019-09-13 00:00:00.000,490,272,6,3,Warehouse,Vigorous Exercise Company,Toronto-Ontario,Canada
