SalesOrderNumber,OrderDate,ShipDate,ProductKey,EmployeeKey,SalesTerritoryKey,Quantity,Reseller Business Type,Reseller,Reseller CityState,ResellerCountry
SO46981,2018-08-12 00:00:00.000,2018-08-20 00:00:00.000,271,292,7,1,Warehouse,Metropolitan Equipment,Paris-Seine (Paris),France
SO46981,2018-08-12 00:00:00.000,2018-08-25 00:00:00.000,454,292,7,2,Warehouse,Metropolitan Equipment,Paris-Seine (Paris),France
SO46981,2018-08-12 00:00:00.000,2018-08-21 00:00:00.000,321,292,7,2,Warehouse,Metropolitan Equipment,Paris-Seine (Paris),France
SO46981,2018-08-12 00:00:00.000,2018-08-21 00:00:00.000,403,292,7,2,Warehouse,Metropolitan Equipment,Paris-Seine (Paris),France
SO46981,2018-08-12 00:00:00.000,2018-08-23 00:00:00.000,458,292,7,2,Warehouse,Metropolitan Equipment,Paris-Seine (Paris),France
SO46981,2018-08-12 00:00:00.000,2018-08-19 00:00:00.000,415,292,7,2,Warehouse,Metropolitan Equipment,Paris-Seine (Paris),France
SO46981,2018-08-12 00:00:00.000,2018-08-13 00:00:00.000,422,292,7,2,Warehouse,Metropolitan Equipment,Paris-Seine (Paris),France
SO46981,2018-08-12 00:00:00.000,2018-08-13 00:00:00.000,424,292,7,2,Warehouse,Metropolitan Equipment,Paris-Seine (Paris),France
SO46981,2018-08-12 00:00:00.000,2018-08-21 00:00:00.000,265,292,7,2,Warehouse,Metropolitan Equipment,Paris-Seine (Paris),France
SO46981,2018-08-12 00:00:00.000,2018-08-23 00:00:00.000,453,292,7,2,Warehouse,Metropolitan Equipment,Paris-Seine (Paris),France
SO46981,2018-08-12 00:00:00.000,2018-08-19 00:00:00.000,280,292,7,2,Warehouse,Metropolitan Equipment,Paris-Seine (Paris),France
SO46981,2018-08-12 00:00:00.000,2018-08-27 00:00:00.000,466,292,7,2,Warehouse,Metropolitan Equipment,Paris-Seine (Paris),France
SO46981,2018-08-12 00:00:00.000,2018-08-21 00:00:00.000,462,292,7,2,Warehouse,Metropolitan Equipment,Paris-Seine (Paris),France
SO46981,2018-08-12 00:00:00.000,2018-08-17 00:00:00.000,377,292,7,3,Warehouse,Metropolitan Equipment,Paris-Seine (Paris),France
SO46981,2018-08-12 00:00:00.000,2018-08-19 00:00:00.000,341,292,7,3,Warehouse,Metropolitan Equipment,Paris-Seine (Paris),France
