SalesOrderNumber,OrderDate,ShipDate,ProductKey,EmployeeKey,SalesTerritoryKey,Quantity,Reseller Business Type,Reseller,Reseller CityState,ResellerCountry
SO51109,2019-07-11 00:00:00.000,2019-07-16 00:00:00.000,497,295,8,1,Warehouse,Best Cycle Store,Offenbach-Saarland,Germany
SO51109,2019-07-11 00:00:00.000,2019-07-18 00:00:00.000,507,295,8,1,Warehouse,Best Cycle Store,Offenbach-Saarland,Germany
SO51109,2019-07-11 00:00:00.000,2019-07-16 00:00:00.000,566,295,8,1,Warehouse,Best Cycle Store,Offenbach-Saarland,Germany
SO51109,2019-07-11 00:00:00.000,2019-07-26 00:00:00.000,548,295,8,1,Warehouse,Best Cycle Store,Offenbach-Saarland,Germany
SO51109,2019-07-11 00:00:00.000,2019-07-17 00:00:00.000,553,295,8,1,Warehouse,Best Cycle Store,Offenbach-Saarland,Germany
SO51166,2019-07-30 00:00:00.000,2019-08-09 00:00:00.000,408,295,8,1,Warehouse,Versatile Sporting Goods Company,Braunschweig-Nordrhein-Westfalen,Germany
SO51169,2019-07-30 00:00:00.000,2019-08-11 00:00:00.000,503,295,8,1,Warehouse,Amalgamated Parts Shop,Frankfurt am Main-Hamburg,Germany
SO51169,2019-07-30 00:00:00.000,2019-08-06 00:00:00.000,506,295,8,1,Warehouse,Amalgamated Parts Shop,Frankfurt am Main-Hamburg,Germany
SO51169,2019-07-30 00:00:00.000,2019-08-03 00:00:00.000,509,295,8,1,Warehouse,Amalgamated Parts Shop,Frankfurt am Main-Hamburg,Germany
SO51169,2019-07-30 00:00:00.000,2019-07-31 00:00:00.000,494,295,8,1,Warehouse,Amalgamated Parts Shop,Frankfurt am Main-Hamburg,Germany
SO51169,2019-07-30 00:00:00.000,2019-08-01 00:00:00.000,495,295,8,1,Warehouse,Amalgamated Parts Shop,Frankfurt am Main-Hamburg,Germany
SO51169,2019-07-30 00:00:00.000,2019-08-10 00:00:00.000,521,295,8,1,Warehouse,Amalgamated Parts Shop,Frankfurt am Main-Hamburg,Germany
SO51169,2019-07-30 00:00:00.000,2019-08-05 00:00:00.000,522,295,8,1,Warehouse,Amalgamated Parts Shop,Frankfurt am Main-Hamburg,Germany
SO51690,2019-08-01 00:00:00.000,2019-08-07 00:00:00.000,514,295,8,1,Warehouse,Capital Riding Supplies,Augsburg-Hamburg,Germany
SO51697,2019-08-02 00:00:00.000,2019-08-08 00:00:00.000,418,295,8,1,Warehouse,Showcase for Cycles,Sulzbach Taunus-Saarland,Germany
SO51805,2019-08-20 00:00:00.000,2019-08-28 00:00:00.000,563,295,8,1,Warehouse,Top of the Line Bikes,Paderborn-Hamburg,Germany
SO53521,2019-09-13 00:00:00.000,2019-09-17 00:00:00.000,287,295,8,1,Warehouse,Nearby Bike Mall,Berlin-Nordrhein-Westfalen,Germany
SO53521,2019-09-13 00:00:00.000,2019-09-29 00:00:00.000,582,295,8,1,Warehouse,Nearby Bike Mall,Berlin-Nordrhein-Westfalen,Germany
SO55237,2019-10-03 00:00:00.000,2019-10-18 00:00:00.000,408,295,8,1,Warehouse,Good Bicycle Store,Sulzbach Taunus-Saarland,Germany
SO55254,2019-10-07 00:00:00.000,2019-10-16 00:00:00.000,523,295,8,1,Warehouse,Best Cycle Store,Offenbach-Saarland,Germany
SO55254,2019-10-07 00:00:00.000,2019-10-14 00:00:00.000,507,295,8,1,Warehouse,Best Cycle Store,Offenbach-Saarland,Germany
SO55272,2019-10-14 00:00:00.000,2019-10-23 00:00:00.000,231,295,8,1,Warehouse,Versatile Sporting Goods Company,Braunschweig-Nordrhein-Westfalen,Germany
SO55272,2019-10-14 00:00:00.000,2019-10-18 00:00:00.000,467,295,8,1,Warehouse,Versatile Sporting Goods Company,Braunschweig-Nordrhein-Westfalen,Germany
SO55309,2019-10-25 00:00:00.000,2019-11-09 00:00:00.000,562,295,8,1,Warehouse,Amalgamated Parts Shop,Frankfurt am Main-Hamburg,Germany
SO55309,2019-10-25 00:00:00.000,2019-10-27 00:00:00.000,523,295,8,1,Warehouse,Amalgamated Parts Shop,Frankfurt am Main-Hamburg,Germany
SO55309,2019-10-25 00:00:00.000,2019-10-30 00:00:00.000,577,295,8,1,Warehouse,Amalgamated Parts Shop,Frankfurt am Main-Hamburg,Germany
SO55309,2019-10-25 00:00:00.000,2019-11-08 00:00:00.000,566,295,8,1,Warehouse,Amalgamated Parts Shop,Frankfurt am Main-Hamburg,Germany
SO57020,2019-11-02 00:00:00.000,2019-11-08 00:00:00.000,384,295,8,1,Warehouse,Showcase for Cycles,Sulzbach Taunus-Saarland,Germany
