SalesOrderNumber,OrderDate,ShipDate,ProductKey,EmployeeKey,SalesTerritoryKey,Quantity,Reseller Business Type,Reseller,Reseller CityState,ResellerCountry
SO53485,2019-09-07 00:00:00.000,2019-09-17 00:00:00.000,585,294,9,1,Value Added Reseller,Nationwide Supply,Rhodes-New South Wales,Australia
SO53485,2019-09-07 00:00:00.000,2019-09-11 00:00:00.000,572,294,9,1,Value Added Reseller,Nationwide Supply,Rhodes-New South Wales,Australia
SO53485,2019-09-07 00:00:00.000,2019-09-18 00:00:00.000,503,294,9,1,Value Added Reseller,Nationwide Supply,Rhodes-New South Wales,Australia
SO53485,2019-09-07 00:00:00.000,2019-09-17 00:00:00.000,506,294,9,1,Value Added Reseller,Nationwide Supply,Rhodes-New South Wales,Australia
SO53485,2019-09-07 00:00:00.000,2019-09-18 00:00:00.000,561,294,9,1,Value Added Reseller,Nationwide Supply,Rhodes-New South Wales,Australia
SO53485,2019-09-07 00:00:00.000,2019-09-19 00:00:00.000,569,294,9,1,Value Added Reseller,Nationwide Supply,Rhodes-New South Wales,Australia
SO53485,2019-09-07 00:00:00.000,2019-09-19 00:00:00.000,492,294,9,1,Value Added Reseller,Nationwide Supply,Rhodes-New South Wales,Australia
SO53485,2019-09-07 00:00:00.000,2019-09-23 00:00:00.000,558,294,9,1,Value Added Reseller,Nationwide Supply,Rhodes-New South Wales,Australia
SO53502,2019-09-10 00:00:00.000,2019-09-17 00:00:00.000,567,294,9,1,Value Added Reseller,Popular Bike Lines,Newcastle-New South Wales,Australia
SO53502,2019-09-10 00:00:00.000,2019-09-21 00:00:00.000,586,294,9,1,Value Added Reseller,Popular Bike Lines,Newcastle-New South Wales,Australia
SO53502,2019-09-10 00:00:00.000,2019-09-25 00:00:00.000,572,294,9,1,Value Added Reseller,Popular Bike Lines,Newcastle-New South Wales,Australia
SO53502,2019-09-10 00:00:00.000,2019-09-11 00:00:00.000,571,294,9,1,Value Added Reseller,Popular Bike Lines,Newcastle-New South Wales,Australia
SO53502,2019-09-10 00:00:00.000,2019-09-13 00:00:00.000,568,294,9,1,Value Added Reseller,Popular Bike Lines,Newcastle-New South Wales,Australia
SO53502,2019-09-10 00:00:00.000,2019-09-18 00:00:00.000,560,294,9,1,Value Added Reseller,Popular Bike Lines,Newcastle-New South Wales,Australia
SO53502,2019-09-10 00:00:00.000,2019-09-18 00:00:00.000,499,294,9,1,Value Added Reseller,Popular Bike Lines,Newcastle-New South Wales,Australia
SO53502,2019-09-10 00:00:00.000,2019-09-26 00:00:00.000,561,294,9,1,Value Added Reseller,Popular Bike Lines,Newcastle-New South Wales,Australia
SO53502,2019-09-10 00:00:00.000,2019-09-13 00:00:00.000,564,294,9,1,Value Added Reseller,Popular Bike Lines,Newcastle-New South Wales,Australia
SO53594,2019-09-25 00:00:00.000,2019-09-29 00:00:00.000,506,294,9,1,Value Added Reseller,Twin Cycles,Darlinghurst-New South Wales,Australia
SO53594,2019-09-25 00:00:00.000,2019-10-08 00:00:00.000,493,294,9,1,Value Added Reseller,Twin Cycles,Darlinghurst-New South Wales,Australia
SO53594,2019-09-25 00:00:00.000,2019-10-09 00:00:00.000,603,294,9,1,Value Added Reseller,Twin Cycles,Darlinghurst-New South Wales,Australia
SO53594,2019-09-25 00:00:00.000,2019-09-27 00:00:00.000,500,294,9,1,Value Added Reseller,Twin Cycles,Darlinghurst-New South Wales,Australia
SO58915,2019-12-02 00:00:00.000,2019-12-16 00:00:00.000,555,294,9,1,Value Added Reseller,Bike Part Wholesalers,Sydney-New South Wales,Australia
SO58915,2019-12-02 00:00:00.000,2019-12-09 00:00:00.000,554,294,9,1,Value Added Reseller,Bike Part Wholesalers,Sydney-New South Wales,Australia
SO58915,2019-12-02 00:00:00.000,2019-12-11 00:00:00.000,563,294,9,1,Value Added Reseller,Bike Part Wholesalers,Sydney-New South Wales,Australia
SO58915,2019-12-02 00:00:00.000,2019-12-05 00:00:00.000,499,294,9,1,Value Added Reseller,Bike Part Wholesalers,Sydney-New South Wales,Australia
SO58915,2019-12-02 00:00:00.000,2019-12-12 00:00:00.000,578,294,9,1,Value Added Reseller,Bike Part Wholesalers,Sydney-New South Wales,Australia
SO58915,2019-12-02 00:00:00.000,2019-12-09 00:00:00.000,569,294,9,1,Value Added Reseller,Bike Part Wholesalers,Sydney-New South Wales,Australia
SO58915,2019-12-02 00:00:00.000,2019-12-07 00:00:00.000,572,294,9,1,Value Added Reseller,Bike Part Wholesalers,Sydney-New South Wales,Australia
SO58915,2019-12-02 00:00:00.000,2019-12-12 00:00:00.000,472,294,9,1,Value Added Reseller,Bike Part Wholesalers,Sydney-New South Wales,Australia
SO58915,2019-12-02 00:00:00.000,2019-12-15 00:00:00.000,564,294,9,1,Value Added Reseller,Bike Part Wholesalers,Sydney-New South Wales,Australia
SO58915,2019-12-02 00:00:00.000,2019-12-07 00:00:00.000,576,294,9,1,Value Added Reseller,Bike Part Wholesalers,Sydney-New South Wales,Australia
SO58915,2019-12-02 00:00:00.000,2019-12-05 00:00:00.000,558,294,9,1,Value Added Reseller,Bike Part Wholesalers,Sydney-New South Wales,Australia
SO58915,2019-12-02 00:00:00.000,2019-12-06 00:00:00.000,577,294,9,1,Value Added Reseller,Bike Part Wholesalers,Sydney-New South Wales,Australia
SO58915,2019-12-02 00:00:00.000,2019-12-11 00:00:00.000,601,294,9,1,Value Added Reseller,Bike Part Wholesalers,Sydney-New South Wales,Australia
SO58915,2019-12-02 00:00:00.000,2019-12-16 00:00:00.000,575,294,9,1,Value Added Reseller,Bike Part Wholesalers,Sydney-New South Wales,Australia
SO58915,2019-12-02 00:00:00.000,2019-12-17 00:00:00.000,560,294,9,1,Value Added Reseller,Bike Part Wholesalers,Sydney-New South Wales,Australia
SO58915,2019-12-02 00:00:00.000,2019-12-16 00:00:00.000,567,294,9,1,Value Added Reseller,Bike Part Wholesalers,Sydney-New South Wales,Australia
