SalesOrderNumber,OrderDate,ShipDate,ProductKey,EmployeeKey,SalesTerritoryKey,Quantity,Reseller Business Type,Reseller,Reseller CityState,ResellerCountry
SO46669,2018-07-27 00:00:00.000,2018-07-29 00:00:00.000,370,288,10,1,Warehouse,Prosperous Tours,London-England,United Kingdom
SO46669,2018-07-27 00:00:00.000,2018-08-05 00:00:00.000,267,288,10,1,Warehouse,Prosperous Tours,London-England,United Kingdom
SO46669,2018-07-27 00:00:00.000,2018-08-06 00:00:00.000,461,288,10,1,Warehouse,Prosperous Tours,London-England,United Kingdom
SO46669,2018-07-27 00:00:00.000,2018-08-12 00:00:00.000,385,288,10,1,Warehouse,Prosperous Tours,London-England,United Kingdom
SO46669,2018-07-27 00:00:00.000,2018-08-11 00:00:00.000,254,288,10,1,Warehouse,Prosperous Tours,London-England,United Kingdom
SO46669,2018-07-27 00:00:00.000,2018-08-04 00:00:00.000,369,288,10,1,Warehouse,Prosperous Tours,London-England,United Kingdom
SO47721,2018-10-28 00:00:00.000,2018-11-12 00:00:00.000,383,288,10,1,Warehouse,Prosperous Tours,London-England,United Kingdom
SO47721,2018-10-28 00:00:00.000,2018-11-03 00:00:00.000,381,288,10,1,Warehouse,Prosperous Tours,London-England,United Kingdom
SO47721,2018-10-28 00:00:00.000,2018-11-07 00:00:00.000,254,288,10,1,Warehouse,Prosperous Tours,London-England,United Kingdom
SO47721,2018-10-28 00:00:00.000,2018-11-02 00:00:00.000,433,288,10,1,Warehouse,Prosperous Tours,London-England,United Kingdom
SO47721,2018-10-28 00:00:00.000,2018-11-10 00:00:00.000,327,288,10,1,Warehouse,Prosperous Tours,London-England,United Kingdom
SO47721,2018-10-28 00:00:00.000,2018-11-01 00:00:00.000,447,288,10,1,Warehouse,Prosperous Tours,London-England,United Kingdom
SO47721,2018-10-28 00:00:00.000,2018-11-10 00:00:00.000,369,288,10,1,Warehouse,Prosperous Tours,London-England,United Kingdom
SO47721,2018-10-28 00:00:00.000,2018-11-03 00:00:00.000,263,288,10,1,Warehouse,Prosperous Tours,London-England,United Kingdom
SO47721,2018-10-28 00:00:00.000,2018-11-11 00:00:00.000,466,288,10,1,Warehouse,Prosperous Tours,London-England,United Kingdom
SO47721,2018-10-28 00:00:00.000,2018-11-05 00:00:00.000,435,288,10,1,Warehouse,Prosperous Tours,London-England,United Kingdom
SO47721,2018-10-28 00:00:00.000,2018-11-12 00:00:00.000,375,288,10,1,Warehouse,Prosperous Tours,London-England,United Kingdom
SO47721,2018-10-28 00:00:00.000,2018-11-05 00:00:00.000,273,288,10,1,Warehouse,Prosperous Tours,London-England,United Kingdom
SO47721,2018-10-28 00:00:00.000,2018-11-07 00:00:00.000,236,288,10,1,Warehouse,Prosperous Tours,London-England,United Kingdom
